Gender,Education,Work Exp,Programming Exp,Matching,Status
0,1,0,0,0,0
1,1,0,1,1,1
1,1,1,0,1,1
1,1,0,0,0,0
1,0,1,0,0,1
1,1,0,0,1,1
1,0,1,0,0,1
1,1,0,0,1,1
1,1,0,0,1,1
1,1,0,1,0,0
1,1,0,0,1,1
1,1,0,0,1,1
0,1,0,0,1,1
1,1,1,0,1,1
1,1,0,1,0,0
1,1,0,0,1,1
1,1,0,0,1,1
1,1,0,0,0,0
0,1,0,1,1,1
1,1,1,0,1,1
1,1,0,0,1,1
1,1,1,0,1,1
1,1,0,1,0,0
1,0,1,0,0,1
0,0,0,0,0,0
1,1,0,1,1,1
1,1,0,0,1,1
1,1,0,0,0,0
0,1,1,0,1,1
0,1,0,0,0,0
0,1,0,0,1,1
1,1,1,0,0,0
1,1,1,0,0,0
0,1,1,0,0,0
1,1,1,0,1,1
1,1,0,0,1,1
0,1,0,0,0,0
1,1,0,0,1,1
1,1,0,1,0,0
0,1,0,0,1,1
1,1,1,0,1,1
0,1,0,1,1,1
0,1,0,1,1,1
0,1,0,0,1,1
0,0,1,0,0,0
1,1,0,0,1,1
0,1,0,0,0,0
0,1,0,0,1,1
1,1,0,0,0,0
0,1,1,1,1,1
1,1,0,1,1,1
1,1,0,1,1,1
1,1,0,1,0,0
1,1,1,0,1,1
0,1,0,0,0,0
0,1,1,0,1,1
1,0,1,0,0,1
1,1,1,0,1,1
1,1,0,0,1,1
1,1,0,0,0,0
0,1,0,1,1,1
1,1,1,0,1,1
0,1,0,1,0,0
1,1,0,1,1,1
1,1,0,0,1,1
1,1,0,1,0,0
1,1,0,0,0,0
0,1,0,1,1,1
1,1,0,1,1,1
1,1,0,1,1,1
1,1,1,1,1,1
1,1,0,0,1,1
1,1,0,1,1,1
1,1,1,0,0,0
1,1,0,1,0,0
1,1,0,1,1,1
1,1,0,0,1,1
0,1,0,1,0,0
0,1,0,1,1,1
1,1,0,0,1,1
1,0,1,0,0,1
1,1,0,0,0,0
1,1,0,0,1,1
0,1,0,1,1,1
1,1,0,1,1,1
1,1,0,0,1,1
0,1,0,0,1,1
1,0,0,0,0,0
1,0,1,0,0,1
1,1,1,0,1,1
1,1,0,0,0,0
0,1,1,1,1,1
1,1,0,1,1,1
1,1,0,1,1,1
0,1,1,1,1,1
0,0,0,1,0,1
1,1,1,1,1,1
1,0,0,0,0,0
1,0,0,0,0,1
1,0,0,1,0,1
1,1,0,1,0,0
1,0,1,0,0,1
1,1,0,1,0,0
1,0,1,0,0,0
1,1,0,0,1,1
0,1,0,1,0,0
1,1,0,0,1,1
1,0,1,0,0,1
1,1,1,0,1,1
0,1,0,0,1,1
0,0,0,1,0,1
1,1,1,0,1,1
1,1,1,0,1,1
1,1,1,0,0,0
1,1,0,0,1,1
1,1,1,0,1,1
1,1,1,1,1,1
0,1,0,1,1,1
0,1,1,1,1,1
1,1,0,0,1,1
1,1,1,1,1,1
1,1,1,0,1,1
1,1,1,0,0,0
1,1,1,0,1,1
1,1,0,0,1,1
1,1,0,0,1,1
1,1,1,0,1,1
1,1,0,0,1,1
1,1,0,0,1,1
1,1,0,0,0,0
1,1,1,0,1,1
1,1,0,1,1,1
1,1,0,0,1,1
1,0,0,1,0,1
0,1,0,1,0,0
1,0,1,0,0,0
1,1,1,0,1,1
0,1,0,1,1,1
0,1,1,1,0,0
1,1,1,1,0,0
1,1,1,1,1,1
0,1,1,0,1,1
1,0,1,0,0,1
1,0,0,0,0,0
0,1,0,0,0,0
1,1,0,1,1,1
1,1,1,0,1,1
1,1,1,1,0,0
1,1,1,0,1,1
1,1,1,0,0,0
1,1,1,0,1,1
0,1,0,0,1,1
1,0,0,1,0,0
1,1,1,0,1,1
1,1,0,0,1,1
0,1,0,0,1,1
1,1,1,0,1,1
1,1,0,0,1,1
1,1,1,0,1,1
1,1,1,0,1,1
1,0,0,1,0,1
0,1,1,0,1,1
1,1,1,0,0,0
1,1,0,0,1,1
1,0,0,0,0,1
1,0,1,0,0,1
0,1,1,0,1,1
0,1,1,0,1,1
1,1,0,0,1,1
0,1,1,0,1,1
1,1,0,0,0,0
1,1,1,0,1,1
1,1,0,1,1,1
1,1,0,0,0,0
1,1,0,1,1,1
1,1,1,0,1,1
1,1,0,0,1,1
1,1,0,1,1,1
1,1,0,0,1,1
1,1,0,0,0,0
0,1,1,0,1,1
1,1,0,1,0,0
1,1,1,0,1,1
1,0,0,0,0,1
1,0,0,1,0,1
0,1,0,1,0,0
1,1,0,1,1,1
1,1,1,0,0,0
0,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,1,1
1,1,1,0,1,1
0,1,0,1,0,0
1,1,0,1,1,1
0,1,0,0,0,0
1,1,1,0,1,1
0,1,0,0,1,1
